probe,log2FC,pval,padj,-log10padj,significance
ILMN_28964,-21.19969437229429,0.8804326514288323,0.9353724486276894,0.029015426372331905,Not significant
ILMN_4690,-7.177252813852874,0.8804722026973906,0.9353724486276894,0.029015426372331905,Not significant
ILMN_20628,-18.16523145743031,0.8814436218496764,0.9356488440408164,0.02888711462720326,Not significant
ILMN_7557,-11.66041616161533,0.8818904382124082,0.9356488440408164,0.02888711462720326,Not significant
ILMN_2178,-13.2555295815298,0.8811330546765979,0.9356488440408164,0.02888711462720326,Not significant
ILMN_26237,-210.18978181818238,0.881442902940424,0.9356488440408164,0.02888711462720326,Not significant
ILMN_30349,7.262283982683584,0.8819698342328965,0.9356488440408164,0.02888711462720326,Not significant
ILMN_21420,8.80573939394003,0.8816298487644321,0.9356488440408164,0.02888711462720326,Not significant
ILMN_7095,8.113952669552646,0.8820326029778713,0.9356488440408164,0.02888711462720326,Not significant
ILMN_13440,7.130712842712967,0.8822439180016106,0.9356769353885326,0.028874075831460268,Not significant
ILMN_11977,26.85994054834009,0.8824225954373205,0.9356769353885326,0.028874075831460268,Not significant
ILMN_15664,208.75383145743035,0.883567526302672,0.9363123971605919,0.028579226339673396,Not significant
ILMN_24067,15.809357575757247,0.8835126668672484,0.9363123971605919,0.028579226339673396,Not significant
ILMN_17770,-12.800164502163625,0.8832811172590391,0.9363123971605919,0.028579226339673396,Not significant
ILMN_10938,-60.31819018759052,0.8851572656467507,0.9378039933215626,0.02788792229686376,Not significant
ILMN_20206,8.791454256853967,0.8854623313195211,0.9379341731754928,0.027827640543986495,Not significant
ILMN_8032,12.94370678210612,0.88575428755739,0.9380504160348578,0.027773819598187827,Not significant
ILMN_3187,-20.507649927850252,0.8865091790926992,0.9382708170166972,0.02767179130050292,Not significant
ILMN_26444,8.419061471861653,0.8862007706225821,0.9382708170166972,0.02767179130050292,Not significant
ILMN_18617,-150.52188369408213,0.8864197582860747,0.9382708170166972,0.02767179130050292,Not significant
ILMN_16610,34.61311890331854,0.8872753195592278,0.9388886629169383,0.027385905015720954,Not significant
ILMN_30217,-6.552875613275546,0.8876007700942421,0.9390400255744262,0.027315896002643485,Not significant
ILMN_7425,-16.41947994228053,0.8878203088493974,0.9390792993541603,0.027297732741557668,Not significant
ILMN_3787,-14.221805194805484,0.8881015947321312,0.9391838557274058,0.02724938141669419,Not significant
ILMN_28987,15.36121125541149,0.8895827657840678,0.9394888999068292,0.027108346737155446,Not significant
ILMN_3563,-13.601072150072582,0.889667518851164,0.9394888999068292,0.027108346737155446,Not significant
ILMN_24176,21.3816655122655,0.8894513673628477,0.9394888999068292,0.027108346737155446,Not significant
ILMN_11566,44.99202020202074,0.8894776659218544,0.9394888999068292,0.027108346737155446,Not significant
ILMN_25004,9.807459740259333,0.8891968771852387,0.9394888999068292,0.027108346737155446,Not significant
ILMN_16548,-132.93175151515425,0.8886001323845191,0.9394888999068292,0.027108346737155446,Not significant
ILMN_2439,17.83070129870248,0.8894562121467,0.9394888999068292,0.027108346737155446,Not significant
ILMN_14214,15.390331313131469,0.89017611217287,0.9398331881595436,0.026949222879717478,Not significant
ILMN_2927,6.758036940837087,0.8904157655661407,0.9398934511245627,0.026921376412435583,Not significant
