probe,log2FC,pval,padj,-log10padj,significance
207269_at,2.1138937104867335,4.7488614459841006e-07,1.2798823334960393e-05,4.892829955557085,Upregulated
235874_at,-1.1848712093658884,4.904517582500566e-07,1.3147271325993453e-05,4.881164374248893,Downregulated
208439_s_at,-1.0169373030242355,4.952609437840991e-07,1.3205192864746087e-05,4.879255251444311,Downregulated
1558723_at,-0.9134216294464252,5.325724724686756e-07,1.4124501849621364e-05,4.850026860165205,Downregulated
1570395_a_at,-1.0593642534402221,5.82478953102209e-07,1.536634952469637e-05,4.813429292524959,Downregulated
227697_at,1.094922872197392,6.157366286826071e-07,1.6158225424270942e-05,4.791606337296933,Upregulated
218865_at,1.4340805423735006,6.214675902271803e-07,1.6223232486244615e-05,4.789862608135306,Upregulated
204578_at,-1.1410976476087153,6.540852036013497e-07,1.698577513102255e-05,4.769914629692116,Downregulated
210800_at,-1.082666129823484,6.843457647388073e-07,1.7679523227915507e-05,4.752529450990216,Downregulated
217452_s_at,-1.0409490614616619,9.119274057630299e-07,2.3437474459456017e-05,4.6300891881921356,Downregulated
1555480_a_at,-0.8978030152390337,9.482048274860181e-07,2.4244868050488647e-05,4.615380175132726,Downregulated
1552924_a_at,-1.013542926433085,1.1772546239710792e-06,2.994791609755e-05,4.5236333922670555,Downregulated
1553627_s_at,-1.1317400277569698,1.215511154486357e-06,3.076415541253288e-05,4.511955003368457,Downregulated
205815_at,-1.0501152658127264,1.2428268016782535e-06,3.1216217505285566e-05,4.505619721904702,Downregulated
227803_at,-1.052438433159952,1.2458939597977994e-06,3.1216217505285566e-05,4.505619721904702,Downregulated
207496_at,-1.3122144900455543,1.3036546768373544e-06,3.2500111093555244e-05,4.488115154490801,Downregulated
232088_x_at,-0.953189252619338,1.3379624170809864e-06,3.318945577893432e-05,4.478999868837058,Downregulated
213017_at,-0.7944797624039222,1.365225156810312e-06,3.3698082335921855e-05,4.47239481291572,Downregulated
202458_at,-1.0351866021793832,1.4859442991279682e-06,3.6497134361832756e-05,4.437741233617503,Downregulated
243877_at,-0.9348833739714308,1.520076882264262e-06,3.71524673282824e-05,4.43001233906421,Downregulated
210511_s_at,1.5869212921323657,1.607435687320605e-06,3.9095972375514815e-05,4.40786798084416,Upregulated
207826_s_at,-0.9032572198318878,1.6542571079676743e-06,3.984601903539529e-05,4.399615061904613,Downregulated
1559789_a_at,-1.1854236280316917,1.6478303801466403e-06,3.984601903539529e-05,4.399615061904613,Downregulated
1555605_x_at,-1.017224880521164,1.798130283355163e-06,4.3103257657734826e-05,4.365489905493245,Downregulated
215783_s_at,1.156628432955542,1.8988013487039e-06,4.529867715137629e-05,4.3439144804208585,Upregulated
214053_at,-1.0606770339785792,1.982381504495079e-06,4.706740086386888e-05,4.327279783457703,Downregulated
200986_at,1.2274301121935025,2.0145598601261705e-06,4.760471783217576e-05,4.322350004696559,Upregulated
205257_s_at,1.1540567229899121,2.0478588152629297e-06,4.816332100424985e-05,4.317283574821375,Upregulated
219466_s_at,1.7972245527743658,2.0644547042644063e-06,4.832568617587948e-05,4.315821970713121,Upregulated
221779_at,-0.8141911516507392,2.080434624625717e-06,4.847218242235433e-05,4.314507426065397,Downregulated
213478_at,1.48341575663291,2.091199509687734e-06,4.849637560606065e-05,4.314290717338054,Upregulated
229116_at,-0.8906903259330008,2.136721532222894e-06,4.932265536881181e-05,4.306953550466832,Downregulated
230940_at,1.3329177305776918,2.1522342082714015e-06,4.945179614028206e-05,4.305817929756451,Upregulated
204724_s_at,1.549758872990485,2.239983467839316e-06,5.123191546168271e-05,4.290459406394051,Upregulated
205513_at,0.9856201635124169,2.2807055645739147e-06,5.1925104771532136e-05,4.284622618497199,Upregulated
220232_at,-1.7131623959228657,2.344941010097362e-06,5.3144890347024756e-05,4.2745384846828545,Downregulated
1556145_a_at,0.9317837229128827,2.3601674754512574e-06,5.324794132398176e-05,4.273697178291438,Upregulated
201681_s_at,-1.2319590938453482,2.565089938314269e-06,5.761053347943669e-05,4.239498103143498,Downregulated
235832_at,-1.5769961736774203,2.641052158771109e-06,5.90506101508195e-05,4.228775610603133,Downregulated
211657_at,1.7335977006114112,2.738150861979103e-06,6.0948304454588425e-05,4.2150383716905315,Upregulated
230109_at,-0.8782466008415293,2.7708587169689546e-06,6.140222916803204e-05,4.211815861793654,Downregulated
227793_at,-0.8725498440505763,2.8742215293040357e-06,6.313157949387631e-05,4.199753344889445,Downregulated
206610_s_at,-1.0465605209136983,2.871108099717942e-06,6.313157949387631e-05,4.199753344889445,Downregulated
1552833_at,-1.443855754063308,3.0441698543430667e-06,6.657118813050233e-05,4.176713691900421,Downregulated
204787_at,1.4890812981686317,3.1166672165213596e-06,6.785896393701091e-05,4.16839277539933,Upregulated
243231_at,-1.154433419790994,3.1382978554428225e-06,6.803283959668658e-05,4.167281401809754,Downregulated
207775_at,-1.1282230054220985,3.199660635140015e-06,6.906280487795721e-05,4.160755787436283,Downregulated
1553009_s_at,0.8417767011046879,3.2431413431428035e-06,6.969958076254318e-05,4.156769834141039,Upregulated
220807_at,1.6684693852529708,3.294724130514984e-06,7.050426830363825e-05,4.151784590177327,Upregulated
232391_at,-1.0431579539405078,3.3852378090009915e-06,7.21316056225596e-05,4.141874400469623,Downregulated
220335_x_at,-0.8865804862184312,3.473678131721337e-06,7.370110282877697e-05,4.132526013513148,Downregulated
230451_at,-1.0315817909896419,3.503037936910288e-06,7.400909810777413e-05,4.1307148881727604,Downregulated
205624_at,-1.1275200573105089,3.5498594144611748e-06,7.468185249157561e-05,4.126784917866896,Downregulated
224370_s_at,-1.3977362660675925,3.6461349941536838e-06,7.638499613802633e-05,4.116991938994727,Downregulated
1555585_a_at,1.1000930305050405,3.8122259804334953e-06,7.953037129054983e-05,4.099466990022278,Upregulated
202953_at,1.750083692641197,3.968695205610593e-06,8.244964289656007e-05,4.083811221018726,Upregulated
210244_at,2.3196792877350276,4.126957788729826e-06,8.538179060002868e-05,4.068634741549436,Upregulated
205637_s_at,-0.8148572923880311,4.301987334674623e-06,8.86351605400317e-05,4.052393964350033,Downregulated
238458_at,-0.9697384320789082,4.432343004018843e-06,9.080424605268949e-05,4.041893843173428,Downregulated
219355_at,-1.0440805601022811,4.4436895380778655e-06,9.080424605268949e-05,4.041893843173428,Downregulated
1560278_at,-1.2796798898940622,5.040507771727938e-06,0.00010257947652994081,3.9889395214989474,Downregulated
231031_at,-1.0411703401913925,5.085388050523923e-06,0.00010307213341427756,3.9868587347189184,Downregulated
205653_at,1.243948634747599,5.4390503520427655e-06,0.00010979394759224788,3.9594215997742386,Upregulated
232197_x_at,-0.9993705727787088,6.018391463100371e-06,0.00012099878965733245,3.917218973880002,Downregulated
232352_at,1.761528239165206,6.934970083269248e-06,0.00013886650937823482,3.857402481015305,Upregulated
204784_s_at,-1.0844272453868085,7.460239128311374e-06,0.00014878700917504204,3.827434986060883,Downregulated
238593_at,-1.2606836129266679,8.358451638672126e-06,0.00016488344931395814,3.7828229358191563,Downregulated
206780_at,-1.3080928030389165,8.366528815971e-06,0.00016488344931395814,3.7828229358191563,Downregulated
1552912_a_at,-1.3907428909294444,8.308129051390392e-06,0.00016488344931395814,3.7828229358191563,Downregulated
239762_at,-0.8684180894484186,8.635163633718679e-06,0.0001695075821957533,3.7708108707226793,Downregulated
1553311_at,-0.9714109420594514,9.00607534403594e-06,0.00017609526143279685,3.7542523303545674,Downregulated
223616_at,-1.0734294743521353,9.161453891851546e-06,0.00017843362931551488,3.7485232909365207,Downregulated
224431_s_at,1.00876298147133,9.39812678590421e-06,0.00018233097336388477,3.739139549565438,Upregulated
206681_x_at,-1.236077769644531,1.0215025830685904e-05,0.0001974113131465113,3.704627962627286,Downregulated
209710_at,-0.8880942814815143,1.0491114371812219e-05,0.00020196407821565916,3.694725868276242,Downregulated
1556452_a_at,-1.074431516230801,1.0986564799726615e-05,0.0002106885080439881,3.676359152238095,Downregulated
204187_at,1.057517896259549,1.1294608404986341e-05,0.0002152725692139156,3.667011305977716,Upregulated
204179_at,-0.881856730146839,1.1311956103900098e-05,0.0002152725692139156,3.667011305977716,Downregulated
202869_at,1.1906158283264894,1.1552600970686566e-05,0.0002190162298092898,3.6595237013450346,Upregulated
1554408_a_at,1.4905081667817441,1.1850691511380077e-05,0.0002238164692262919,3.650107959671207,Upregulated
244180_at,-0.772053264468644,1.1913024984340549e-05,0.00022414468895064896,3.6494715471696044,Downregulated
1552908_at,-0.9586002558108397,1.2476593217222039e-05,0.0002338657660942447,3.6310333467436045,Downregulated
1560477_a_at,-0.8077365863287742,1.2763888251129531e-05,0.00023835485700423911,3.6227759939418984,Downregulated
204103_at,0.9591510701792298,1.2897284501468926e-05,0.00023970060494979875,3.620330869904486,Upregulated
